,file,ph seq,transcript
2619,MAN_IP_2619_3A,sil th_B r_I iy_E sil, three
2620,MAN_IP_2620_68385A,sil s_B ih_I k_I s_E ey_B t_E th_B r_I iy_E ey_B t_E f_B ay_I v_E sil, six eight three eight five
2621,MAN_IP_2621_11Z44A,sil hh_B w_I ah_I n_E hh_B w_I ah_I n_E z_B iy_I r_I ow_E f_B ao_I r_E f_B ao_I r_E sil, one one zero four four
2622,MAN_IP_2622_12A,sil hh_B w_I ah_I n_E t_B uw_E sil, one two
2623,MAN_IP_2623_14A,sil hh_B w_I ah_I n_E f_B ao_I r_E sil, one four
2624,MAN_IP_2624_1867Z65A,sil hh_B w_I ah_I n_E ey_B t_E s_B ih_I k_I s_E sil s_B eh_I v_I ah_I n_E z_B iy_I r_I ow_E s_B ih_I k_I s_E f_B ay_I v_E sil, one eight six seven zero six five
2625,MAN_IP_2625_1A,sil hh_B w_I ah_I n_E sil, one
2626,MAN_IP_2626_1B,sil hh_B w_I ah_I n_E sil, one
2627,MAN_IP_2627_1Z69911A,sil hh_B w_I ah_I n_E z_B iy_I r_I ow_E s_B ih_I k_I s_E sil n_B ay_I n_E n_B ay_I n_E hh_B w_I ah_I n_E hh_B w_I ah_I n_E sil, one zero six nine nine one one
2628,MAN_IP_2628_255647ZA,sil t_B uw_E f_B ay_I v_E f_B ay_I v_E sil s_B ih_I k_I s_E f_B ao_I r_E s_B eh_I v_I ah_I n_E z_B iy_I r_I ow_E sil, two five five six four seven zero
2629,MAN_IP_2629_25A,sil t_B uw_E f_B ay_I v_E sil, two five
2630,MAN_IP_2630_28826Z4A,sil t_B uw_E ey_B t_E ey_B t_E sil t_B uw_E s_B ih_I k_I s_E sil z_B iy_I r_I ow_E f_B ao_I r_E sil, two eight eight two six zero four
2631,MAN_IP_2631_2A,sil t_B uw_E sil, two
2632,MAN_IP_2632_2B,sil t_B uw_E sil, two
2633,MAN_IP_2633_2O4A,sil t_B uw_E ow_S f_B ao_I r_E sil, two oh four
2634,MAN_IP_2634_2Z28ZA,sil t_B uw_E z_B iy_I r_I ow_E t_B uw_E sil ey_B t_E sil z_B iy_I r_I ow_E sil, two zero two eight zero
2635,MAN_IP_2635_31A,sil th_B r_I iy_E hh_B w_I ah_I n_E sil, three one
2636,MAN_IP_2636_353A,sil th_B r_I iy_E f_B ay_I v_E th_B r_I iy_E sil, three five three
2637,MAN_IP_2637_359OA,sil th_B r_I iy_E f_B ay_I v_E n_B ay_I n_E ow_S sil, three five nine oh
2638,MAN_IP_2638_36O8A,sil th_B r_I iy_E s_B ih_I k_I s_E sil ow_S ey_B t_E sil, three six oh eight
2639,MAN_IP_2639_3818782A,sil th_B r_I iy_E ey_B t_E hh_B w_I ah_I n_E sil ey_B t_E s_B eh_I v_I ah_I n_E ey_B t_E t_B uw_E sil, three eight one eight seven eight two
2640,MAN_IP_2640_3B,sil th_B r_I iy_E sil, three
2641,MAN_IP_2641_422Z373A,sil f_B ao_I r_E t_B uw_E t_B uw_E sil z_B iy_I r_I ow_E th_B r_I iy_E s_B eh_I v_I ah_I n_E th_B r_I iy_E sil, four two two zero three seven three
2642,MAN_IP_2642_4393A,sil f_B ao_I r_E th_B r_I iy_E n_B ay_I n_E th_B r_I iy_E sil, four three nine three
2643,MAN_IP_2643_487A,sil f_B ao_I r_E ey_B t_E s_B eh_I v_I ah_I n_E sil, four eight seven
2644,MAN_IP_2644_49527A,sil f_B ao_I r_E n_B ay_I n_E f_B ay_I v_E t_B uw_E s_B eh_I v_I ah_I n_E sil, four nine five two seven
2645,MAN_IP_2645_4A,sil f_B ao_I r_E sil, four
2646,MAN_IP_2646_4B,sil f_B ao_I r_E sil, four
2647,MAN_IP_2647_4ZA,sil f_B ao_I r_E z_B iy_I r_I ow_E sil, four zero
2648,MAN_IP_2648_51316A,sil f_B ay_I v_E hh_B w_I ah_I n_E th_B r_I iy_E hh_B w_I ah_I n_E s_B ih_I k_I s_E sil, five one three one six
2649,MAN_IP_2649_5724O29A,sil f_B ay_I v_E s_B eh_I v_I ah_I n_E t_B uw_E sil f_B ao_I r_E ow_S t_B uw_E n_B ay_I n_E sil, five seven two four oh two nine
2650,MAN_IP_2650_579ZA,sil f_B ay_I v_E s_B eh_I v_I ah_I n_E n_B ay_I n_E z_B iy_I r_I ow_E sil, five seven nine zero
2651,MAN_IP_2651_594A,sil f_B ay_I v_E n_B ay_I n_E f_B ao_I r_E sil, five nine four
2652,MAN_IP_2652_5A,sil f_B ay_I v_E sil, five
2653,MAN_IP_2653_5B,sil f_B ay_I v_E sil, five
2654,MAN_IP_2654_5OOA,sil f_B ay_I v_E ow_S ow_S sil, five oh oh
2655,MAN_IP_2655_617A,sil s_B ih_I k_I s_E hh_B w_I ah_I n_E s_B eh_I v_I ah_I n_E sil, six one seven
2656,MAN_IP_2656_61A,sil s_B ih_I k_I s_E hh_B w_I ah_I n_E sil, six one
2657,MAN_IP_2657_621OA,sil s_B ih_I k_I s_E t_B uw_E hh_B w_I ah_I n_E ow_S sil, six two one oh
2658,MAN_IP_2658_668A,sil s_B ih_I k_I s_E s_B ih_I k_I s_E ey_B t_E sil, six six eight
2659,MAN_IP_2659_6A,sil s_B ih_I k_I s_E sil, six
2660,MAN_IP_2660_6B,sil s_B ih_I k_I s_E sil, six
2661,MAN_IP_2661_72OOA,sil s_B eh_I v_I ah_I n_E t_B uw_E ow_S ow_S sil, seven two oh oh
2662,MAN_IP_2662_763A,sil s_B eh_I v_I ah_I n_E s_B ih_I k_I s_E th_B r_I iy_E sil, seven six three
2663,MAN_IP_2663_7789719A,sil s_B eh_I v_I ah_I n_E s_B eh_I v_I ah_I n_E ey_B t_E sil n_B ay_I n_E s_B eh_I v_I ah_I n_E hh_B w_I ah_I n_E n_B ay_I n_E sil, seven seven eight nine seven one nine
2664,MAN_IP_2664_7A,sil s_B eh_I v_I ah_I n_E sil, seven
2665,MAN_IP_2665_7B,sil s_B eh_I v_I ah_I n_E sil, seven
2666,MAN_IP_2666_7O991A,sil s_B eh_I v_I ah_I n_E ow_S n_B ay_I n_E n_B ay_I n_E hh_B w_I ah_I n_E sil, seven oh nine nine one
2667,MAN_IP_2667_7OA,sil s_B eh_I v_I ah_I n_E ow_S sil, seven oh
2668,MAN_IP_2668_83792A,sil ey_B t_E th_B r_I iy_E s_B eh_I v_I ah_I n_E n_B ay_I n_E t_B uw_E sil, eight three seven nine two
2669,MAN_IP_2669_84O6A,sil ey_B t_E f_B ao_I r_E ow_S s_B ih_I k_I s_E sil, eight four oh six
2670,MAN_IP_2670_851A,sil ey_B t_E f_B ay_I v_E hh_B w_I ah_I n_E sil, eight five one
2671,MAN_IP_2671_89OA,sil ey_B t_E n_B ay_I n_E ow_S sil, eight nine oh
2672,MAN_IP_2672_8A,sil ey_B t_E sil, eight
2673,MAN_IP_2673_8B,sil ey_B t_E sil, eight
2674,MAN_IP_2674_8Z55A,sil ey_B t_E z_B iy_I r_I ow_E f_B ay_I v_E f_B ay_I v_E sil, eight zero five five
2675,MAN_IP_2675_92A,sil n_B ay_I n_E t_B uw_E sil, nine two
2676,MAN_IP_2676_94815A,sil n_B ay_I n_E f_B ao_I r_E ey_B t_E sil hh_B w_I ah_I n_E f_B ay_I v_E sil, nine four eight one five
2677,MAN_IP_2677_9652754A,sil n_B ay_I n_E s_B ih_I k_I s_E f_B ay_I v_E sil t_B uw_E s_B eh_I v_I ah_I n_E f_B ay_I v_E f_B ao_I r_E sil, nine six five two seven five four
2678,MAN_IP_2678_97756A,sil n_B ay_I n_E s_B eh_I v_I ah_I n_E s_B eh_I v_I ah_I n_E f_B ay_I v_E s_B ih_I k_I s_E sil, nine seven seven five six
2679,MAN_IP_2679_98OOA,sil n_B ay_I n_E ey_B t_E ow_S ow_S sil, nine eight oh oh
2680,MAN_IP_2680_9A,sil n_B ay_I n_E sil, nine
2681,MAN_IP_2681_9B,sil n_B ay_I n_E sil, nine
2682,MAN_IP_2682_O741A,sil ow_S s_B eh_I v_I ah_I n_E f_B ao_I r_E hh_B w_I ah_I n_E sil, oh seven four one
2683,MAN_IP_2683_O76644OA,sil ow_S s_B eh_I v_I ah_I n_E s_B ih_I k_I s_E sil s_B ih_I k_I s_E f_B ao_I r_E f_B ao_I r_E sil ow_S sil, oh seven six six four four oh
2684,MAN_IP_2684_O88O3A,sil ow_S ey_B t_E ey_B t_E ow_S th_B r_I iy_E sil, oh eight eight oh three
2685,MAN_IP_2685_O933O29A,sil ow_S n_B ay_I n_E th_B r_I iy_E sil th_B r_I iy_E ow_S t_B uw_E n_B ay_I n_E sil, oh nine three three oh two nine
2686,MAN_IP_2686_OA,sil ow_S sil, oh
2687,MAN_IP_2687_OB,sil ow_S sil, oh
2688,MAN_IP_2688_OO34A,sil ow_S ow_S th_B r_I iy_E f_B ao_I r_E sil, oh oh three four
2689,MAN_IP_2689_Z74A,sil z_B iy_I r_I ow_E s_B eh_I v_I ah_I n_E f_B ao_I r_E sil, zero seven four
2690,MAN_IP_2690_Z7A,sil z_B iy_I r_I ow_E s_B eh_I v_I ah_I n_E sil, zero seven
2691,MAN_IP_2691_Z8496A,sil z_B iy_I r_I ow_E ey_B t_E sil f_B ao_I r_E n_B ay_I n_E s_B ih_I k_I s_E sil, zero eight four nine six
2692,MAN_IP_2692_ZA,sil z_B iy_I r_I ow_E sil, zero
2693,MAN_IP_2693_ZB,sil z_B iy_I r_I ow_E sil, zero
2694,MAN_IP_2694_ZZA,sil z_B iy_I r_I ow_E z_B iy_I r_I ow_E sil, zero zero
2695,MAN_IP_2695_ZZB,sil z_B iy_I r_I ow_E z_B iy_I r_I ow_E sil, zero zero
2696,MAN_JA_2696_3B,sil th_B r_I iy_E sil, three
2697,MAN_JA_2697_686A,sil s_B ih_I k_I s_E ey_B t_E s_B ih_I k_I s_E sil, six eight six
2698,MAN_JA_2698_12A,sil hh_B w_I ah_I n_E t_B uw_E sil, one two
2699,MAN_JA_2699_148A,sil hh_B w_I ah_I n_E f_B ao_I r_E ey_B t_E sil, one four eight
2700,MAN_JA_2700_16947A,sil hh_B w_I ah_I n_E s_B ih_I k_I s_E n_B ay_I n_E f_B ao_I r_E s_B eh_I v_I ah_I n_E sil, one six nine four seven
2701,MAN_JA_2701_1866331A,sil hh_B w_I ah_I n_E ey_B t_E s_B ih_I k_I s_E sil s_B ih_I k_I s_E th_B r_I iy_E sil th_B r_I iy_E sil hh_B w_I ah_I n_E sil, one eight six six three three one
2702,MAN_JA_2702_19O56A,sil hh_B w_I ah_I n_E n_B ay_I n_E ow_S f_B ay_I v_E s_B ih_I k_I s_E sil, one nine oh five six
2703,MAN_JA_2703_1A,sil hh_B w_I ah_I n_E sil, one
2704,MAN_JA_2704_1B,sil hh_B w_I ah_I n_E sil, one
2705,MAN_JA_2705_2271OO3A,sil t_B uw_E t_B uw_E s_B eh_I v_I ah_I n_E sil hh_B w_I ah_I n_E sil ow_S ow_S th_B r_I iy_E sil, two two seven one oh oh three
2706,MAN_JA_2706_23OO6A,sil t_B uw_E th_B r_I iy_E ow_S ow_S s_B ih_I k_I s_E sil, two three oh oh six
2707,MAN_JA_2707_2569A,sil t_B uw_E f_B ay_I v_E s_B ih_I k_I s_E n_B ay_I n_E sil, two five six nine
2708,MAN_JA_2708_26229A,sil t_B uw_E s_B ih_I k_I s_E t_B uw_E t_B uw_E n_B ay_I n_E sil, two six two two nine
2709,MAN_JA_2709_2A,sil t_B uw_E sil, two
2710,MAN_JA_2710_2B,sil t_B uw_E sil, two
2711,MAN_JA_2711_2ZA,sil t_B uw_E z_B iy_I r_I ow_E sil, two zero
2712,MAN_JA_2712_32O8A,sil th_B r_I iy_E sil t_B uw_E sil ow_S sil ey_B t_E sil, three two oh eight
2713,MAN_JA_2713_3437ZA,sil th_B r_I iy_E f_B ao_I r_E th_B r_I iy_E s_B eh_I v_I ah_I n_E z_B iy_I r_I ow_E sil, three four three seven zero
2714,MAN_JA_2714_35Z2A,sil th_B r_I iy_E f_B ay_I v_E z_B iy_I r_I ow_E t_B uw_E sil, three five zero two
2715,MAN_JA_2715_38Z19A,sil th_B r_I iy_E ey_B t_E z_B iy_I r_I ow_E hh_B w_I ah_I n_E n_B ay_I n_E sil, three eight zero one nine
2716,MAN_JA_2716_3A,sil th_B r_I iy_E sil, three
2717,MAN_JA_2717_3Z45A,sil th_B r_I iy_E z_B iy_I r_I ow_E f_B ao_I r_E f_B ay_I v_E sil, three zero four five
2718,MAN_JA_2718_426A,sil f_B ao_I r_E t_B uw_E s_B ih_I k_I s_E sil, four two six
2719,MAN_JA_2719_44A,sil f_B ao_I r_E f_B ao_I r_E sil, four four
2720,MAN_JA_2720_4A,sil f_B ao_I r_E sil, four
2721,MAN_JA_2721_4B,sil f_B ao_I r_E sil, four
2722,MAN_JA_2722_4O75O57A,sil f_B ao_I r_E ow_S s_B eh_I v_I ah_I n_E sil f_B ay_I v_E ow_S f_B ay_I v_E s_B eh_I v_I ah_I n_E sil, four oh seven five oh five seven
2723,MAN_JA_2723_4Z9A,sil f_B ao_I r_E z_B iy_I r_I ow_E n_B ay_I n_E sil, four zero nine
2724,MAN_JA_2724_4ZA,sil f_B ao_I r_E z_B iy_I r_I ow_E sil, four zero
2725,MAN_JA_2725_53527O9A,sil f_B ay_I v_E th_B r_I iy_E f_B ay_I v_E sil t_B uw_E s_B eh_I v_I ah_I n_E ow_S n_B ay_I n_E sil, five three five two seven oh nine
2726,MAN_JA_2726_551A,sil f_B ay_I v_E f_B ay_I v_E hh_B w_I ah_I n_E sil, five five one
2727,MAN_JA_2727_55OA,sil f_B ay_I v_E f_B ay_I v_E ow_S sil, five five oh
2728,MAN_JA_2728_58A,sil f_B ay_I v_E ey_B t_E sil, five eight
2729,MAN_JA_2729_5A,sil f_B ay_I v_E sil, five
2730,MAN_JA_2730_5B,sil f_B ay_I v_E sil, five
2731,MAN_JA_2731_5ZZA,sil f_B ay_I v_E z_B iy_I r_I ow_E z_B iy_I r_I ow_E sil, five zero zero
2732,MAN_JA_2732_61364A,sil s_B ih_I k_I s_E hh_B w_I ah_I n_E th_B r_I iy_E s_B ih_I k_I s_E f_B ao_I r_E sil, six one three six four
2733,MAN_JA_2733_652OA,sil s_B ih_I k_I s_E sil f_B ay_I v_E sil t_B uw_E sil ow_S sil, six five two oh
2734,MAN_JA_2734_6684A,sil s_B ih_I k_I s_E s_B ih_I k_I s_E ey_B t_E f_B ao_I r_E sil, six six eight four
2735,MAN_JA_2735_678OA,sil s_B ih_I k_I s_E s_B eh_I v_I ah_I n_E ey_B t_E ow_S sil, six seven eight oh
2736,MAN_JA_2736_6A,sil s_B ih_I k_I s_E sil, six
2737,MAN_JA_2737_6B,sil s_B ih_I k_I s_E sil, six
2738,MAN_JA_2738_73A,sil s_B eh_I v_I ah_I n_E th_B r_I iy_E sil, seven three
2739,MAN_JA_2739_77Z2ZZ6A,sil s_B eh_I v_I ah_I n_E s_B eh_I v_I ah_I n_E z_B iy_I r_I ow_E sil t_B uw_E z_B iy_I r_I ow_E z_B iy_I r_I ow_E s_B ih_I k_I s_E sil, seven seven zero two zero zero six
2740,MAN_JA_2740_7881298A,sil s_B eh_I v_I ah_I n_E ey_B t_E ey_B t_E sil hh_B w_I ah_I n_E sil t_B uw_E n_B ay_I n_E ey_B t_E sil, seven eight eight one two nine eight
2741,MAN_JA_2741_7958314A,sil s_B eh_I v_I ah_I n_E n_B ay_I n_E f_B ay_I v_E sil ey_B t_E th_B r_I iy_E hh_B w_I ah_I n_E f_B ao_I r_E sil, seven nine five eight three one four
2742,MAN_JA_2742_7A,sil s_B eh_I v_I ah_I n_E sil, seven
2743,MAN_JA_2743_7B,sil s_B eh_I v_I ah_I n_E sil, seven
2744,MAN_JA_2744_7O489A,sil s_B eh_I v_I ah_I n_E ow_S f_B ao_I r_E ey_B t_E n_B ay_I n_E sil, seven oh four eight nine
2745,MAN_JA_2745_8157739A,sil ey_B t_E hh_B w_I ah_I n_E f_B ay_I v_E sil s_B eh_I v_I ah_I n_E s_B eh_I v_I ah_I n_E th_B r_I iy_E n_B ay_I n_E sil, eight one five seven seven three nine
2746,MAN_JA_2746_854A,sil ey_B t_E f_B ay_I v_E f_B ao_I r_E sil, eight five four
2747,MAN_JA_2747_859O7A,sil ey_B t_E f_B ay_I v_E n_B ay_I n_E ow_S s_B eh_I v_I ah_I n_E sil, eight five nine oh seven
2748,MAN_JA_2748_8936233A,sil ey_B t_E n_B ay_I n_E th_B r_I iy_E sil s_B ih_I k_I s_E t_B uw_E th_B r_I iy_E th_B r_I iy_E sil, eight nine three six two three three
2749,MAN_JA_2749_8A,sil ey_B t_E sil, eight
2750,MAN_JA_2750_8B,sil ey_B t_E sil, eight
2751,MAN_JA_2751_8Z34A,sil ey_B t_E z_B iy_I r_I ow_E th_B r_I iy_E f_B ao_I r_E sil, eight zero three four
2752,MAN_JA_2752_91OA,sil n_B ay_I n_E hh_B w_I ah_I n_E ow_S sil, nine one oh
2753,MAN_JA_2753_95182A,sil n_B ay_I n_E f_B ay_I v_E hh_B w_I ah_I n_E ey_B t_E sil t_B uw_E sil, nine five one eight two
2754,MAN_JA_2754_96O9A,sil n_B ay_I n_E s_B ih_I k_I s_E sil ow_S n_B ay_I n_E sil, nine six oh nine
2755,MAN_JA_2755_976A,sil n_B ay_I n_E s_B eh_I v_I ah_I n_E s_B ih_I k_I s_E sil, nine seven six
2756,MAN_JA_2756_9A,sil n_B ay_I n_E sil, nine
2757,MAN_JA_2757_9B,sil n_B ay_I n_E sil, nine
2758,MAN_JA_2758_9ZA,sil n_B ay_I n_E z_B iy_I r_I ow_E sil, nine zero
2759,MAN_JA_2759_O171A,sil ow_S hh_B w_I ah_I n_E s_B eh_I v_I ah_I n_E hh_B w_I ah_I n_E sil, oh one seven one
2760,MAN_JA_2760_O1A,sil ow_S hh_B w_I ah_I n_E sil, oh one
2761,MAN_JA_2761_O28216OA,sil ow_S t_B uw_E ey_B t_E sil t_B uw_E hh_B w_I ah_I n_E s_B ih_I k_I s_E ow_S sil, oh two eight two one six oh
2762,MAN_JA_2762_OA,sil ow_S sil, oh
2763,MAN_JA_2763_OB,sil ow_S sil, oh
2764,MAN_JA_2764_OO6O399A,sil ow_S sil ow_S s_B ih_I k_I s_E sil ow_S th_B r_I iy_E sil n_B ay_I n_E n_B ay_I n_E sil, oh oh six oh three nine nine
2765,MAN_JA_2765_OO884A,sil ow_S sil ow_S ey_B t_E sil ey_B t_E f_B ao_I r_E sil, oh oh eight eight four
2766,MAN_JA_2766_Z5A,sil z_B iy_I r_I ow_E sil f_B ay_I v_E sil, zero five
2767,MAN_JA_2767_Z6A,sil z_B iy_I r_I ow_E s_B ih_I k_I s_E sil, zero six
2768,MAN_JA_2768_Z72A,sil z_B iy_I r_I ow_E s_B eh_I v_I ah_I n_E t_B uw_E sil, zero seven two
2769,MAN_JA_2769_Z8A,sil z_B iy_I r_I ow_E ey_B t_E sil, zero eight
2770,MAN_JA_2770_Z98ZA,sil z_B iy_I r_I ow_E n_B ay_I n_E ey_B t_E z_B iy_I r_I ow_E sil, zero nine eight zero
2771,MAN_JA_2771_ZA,sil z_B iy_I r_I ow_E sil, zero
2772,MAN_JA_2772_ZB,sil z_B iy_I r_I ow_E sil, zero
2773,MAN_JH_2773_3A,sil th_B r_I iy_E sil, three
2774,MAN_JH_2774_6814A,sil s_B ih_I k_I s_E ey_B t_E hh_B w_I ah_I n_E f_B ao_I r_E sil, six eight one four
2775,MAN_JH_2775_11O3A,sil hh_B w_I ah_I n_E hh_B w_I ah_I n_E sil ow_S th_B r_I iy_E sil, one one oh three
2776,MAN_JH_2776_1335OO5A,sil hh_B w_I ah_I n_E th_B r_I iy_E th_B r_I iy_E f_B ay_I v_E sil ow_S ow_S f_B ay_I v_E sil, one three three five oh oh five
2777,MAN_JH_2777_14A,sil hh_B w_I ah_I n_E f_B ao_I r_E sil, one four
2778,MAN_JH_2778_15848A,sil hh_B w_I ah_I n_E f_B ay_I v_E ey_B t_E f_B ao_I r_E ey_B t_E sil, one five eight four eight
2779,MAN_JH_2779_19A,sil hh_B w_I ah_I n_E n_B ay_I n_E sil, one nine
2780,MAN_JH_2780_1A,sil hh_B w_I ah_I n_E sil, one
2781,MAN_JH_2781_1B,sil hh_B w_I ah_I n_E sil, one
2782,MAN_JH_2782_2244A,sil t_B uw_E t_B uw_E f_B ao_I r_E f_B ao_I r_E sil, two two four four
2783,MAN_JH_2783_22A,sil t_B uw_E t_B uw_E sil, two two
2784,MAN_JH_2784_239O392A,sil t_B uw_E th_B r_I iy_E n_B ay_I n_E sil ow_S th_B r_I iy_E n_B ay_I n_E t_B uw_E sil, two three nine oh three nine two
2785,MAN_JH_2785_253Z9A,sil t_B uw_E f_B ay_I v_E th_B r_I iy_E z_B iy_I r_I ow_E n_B ay_I n_E sil, two five three zero nine
2786,MAN_JH_2786_282A,sil t_B uw_E ey_B t_E t_B uw_E sil, two eight two
2787,MAN_JH_2787_2A,sil t_B uw_E sil, two
2788,MAN_JH_2788_2B,sil t_B uw_E sil, two
2789,MAN_JH_2789_3186615A,sil th_B r_I iy_E hh_B w_I ah_I n_E ey_B t_E sil s_B ih_I k_I s_E s_B ih_I k_I s_E hh_B w_I ah_I n_E f_B ay_I v_E sil, three one eight six six one five
2790,MAN_JH_2790_34ZA,sil th_B r_I iy_E f_B ao_I r_E z_B iy_I r_I ow_E sil, three four zero
2791,MAN_JH_2791_37542A,th_B r_I iy_E s_B eh_I v_I ah_I n_E f_B ay_I v_E sil f_B ao_I r_E sil t_B uw_E sil, three seven five four two
2792,MAN_JH_2792_377A,sil th_B r_I iy_E s_B eh_I v_I ah_I n_E s_B eh_I v_I ah_I n_E sil, three seven seven
2793,MAN_JH_2793_3811A,sil th_B r_I iy_E ey_B t_E hh_B w_I ah_I n_E hh_B w_I ah_I n_E sil, three eight one one
2794,MAN_JH_2794_3B,sil th_B r_I iy_E sil, three
2795,MAN_JH_2795_419A,sil f_B ao_I r_E hh_B w_I ah_I n_E n_B ay_I n_E sil, four one nine
2796,MAN_JH_2796_43653A,sil f_B ao_I r_E th_B r_I iy_E s_B ih_I k_I s_E f_B ay_I v_E th_B r_I iy_E sil, four three six five three
2797,MAN_JH_2797_46Z55A,sil f_B ao_I r_E s_B ih_I k_I s_E z_B iy_I r_I ow_E f_B ay_I v_E f_B ay_I v_E sil, four six zero five five
2798,MAN_JH_2798_47956A,sil f_B ao_I r_E s_B eh_I v_I ah_I n_E n_B ay_I n_E f_B ay_I v_E s_B ih_I k_I s_E sil, four seven nine five six
2799,MAN_JH_2799_48A,sil f_B ao_I r_E ey_B t_E sil, four eight
2800,MAN_JH_2800_4A,sil f_B ao_I r_E sil, four
2801,MAN_JH_2801_4B,sil f_B ao_I r_E sil, four
2802,MAN_JH_2802_5212788A,sil f_B ay_I v_E t_B uw_E hh_B w_I ah_I n_E sil t_B uw_E s_B eh_I v_I ah_I n_E sil ey_B t_E ey_B t_E sil, five two one two seven eight eight
2803,MAN_JH_2803_57359A,sil f_B ay_I v_E s_B eh_I v_I ah_I n_E th_B r_I iy_E f_B ay_I v_E n_B ay_I n_E sil, five seven three five nine
2804,MAN_JH_2804_58A,sil f_B ay_I v_E ey_B t_E sil, five eight
2805,MAN_JH_2805_5987A,sil f_B ay_I v_E n_B ay_I n_E ey_B t_E s_B eh_I v_I ah_I n_E sil, five nine eight seven
2806,MAN_JH_2806_5A,sil f_B ay_I v_E sil, five
2807,MAN_JH_2807_5B,sil f_B ay_I v_E sil, five
2808,MAN_JH_2808_5O56A,sil f_B ay_I v_E ow_S f_B ay_I v_E s_B ih_I k_I s_E sil, five oh five six
2809,MAN_JH_2809_62A,sil s_B ih_I k_I s_E t_B uw_E sil, six two
2810,MAN_JH_2810_632O6A,sil s_B ih_I k_I s_E th_B r_I iy_E t_B uw_E ow_S s_B ih_I k_I s_E sil, six three two oh six
2811,MAN_JH_2811_66896A,sil s_B ih_I k_I s_E s_B ih_I k_I s_E ey_B t_E sil n_B ay_I n_E s_B ih_I k_I s_E sil, six six eight nine six
2812,MAN_JH_2812_677A,sil s_B ih_I k_I s_E s_B eh_I v_I ah_I n_E s_B eh_I v_I ah_I n_E sil, six seven seven
2813,MAN_JH_2813_6A,sil s_B ih_I k_I s_E sil, six
2814,MAN_JH_2814_6B,sil s_B ih_I k_I s_E sil, six
2815,MAN_JH_2815_72A,sil s_B eh_I v_I ah_I n_E t_B uw_E sil, seven two
2816,MAN_JH_2816_741Z3ZZA,sil s_B eh_I v_I ah_I n_E f_B ao_I r_E hh_B w_I ah_I n_E z_B iy_I r_I ow_E th_B r_I iy_E z_B iy_I r_I ow_E z_B iy_I r_I ow_E sil, seven four one zero three zero zero
2817,MAN_JH_2817_76O8518A,sil s_B eh_I v_I ah_I n_E s_B ih_I k_I s_E sil ow_S sil ey_B t_E f_B ay_I v_E hh_B w_I ah_I n_E ey_B t_E sil, seven six oh eight five one eight
2818,MAN_JH_2818_79A,sil s_B eh_I v_I ah_I n_E n_B ay_I n_E sil, seven nine
2819,MAN_JH_2819_7A,sil s_B eh_I v_I ah_I n_E sil, seven
2820,MAN_JH_2820_7B,sil s_B eh_I v_I ah_I n_E sil, seven
2821,MAN_JH_2821_7Z13A,sil s_B eh_I v_I ah_I n_E z_B iy_I r_I ow_E hh_B w_I ah_I n_E th_B r_I iy_E sil, seven zero one three
2822,MAN_JH_2822_82864A,sil ey_B t_E sil t_B uw_E ey_B t_E s_B ih_I k_I s_E f_B ao_I r_E sil, eight two eight six four
2823,MAN_JH_2823_8317494A,sil ey_B t_E th_B r_I iy_E hh_B w_I ah_I n_E sil s_B eh_I v_I ah_I n_E f_B ao_I r_E n_B ay_I n_E f_B ao_I r_E sil, eight three one seven four nine four
2824,MAN_JH_2824_84ZA,sil ey_B t_E f_B ao_I r_E z_B iy_I r_I ow_E sil, eight four zero
2825,MAN_JH_2825_8A,sil ey_B t_E sil, eight
2826,MAN_JH_2826_8B,sil ey_B t_E sil, eight
2827,MAN_JH_2827_8OA,sil ey_B t_E ow_S sil, eight oh
2828,MAN_JH_2828_8Z54Z64A,sil ey_B t_E z_B iy_I r_I ow_E f_B ay_I v_E sil f_B ao_I r_E z_B iy_I r_I ow_E s_B ih_I k_I s_E f_B ao_I r_E sil, eight zero five four zero six four
2829,MAN_JH_2829_921A,sil n_B ay_I n_E t_B uw_E hh_B w_I ah_I n_E sil, nine two one
2830,MAN_JH_2830_95ZA,sil n_B ay_I n_E f_B ay_I v_E z_B iy_I r_I ow_E sil, nine five zero
2831,MAN_JH_2831_9627A,sil n_B ay_I n_E s_B ih_I k_I s_E t_B uw_E s_B eh_I v_I ah_I n_E sil, nine six two seven
2832,MAN_JH_2832_991A,sil n_B ay_I n_E n_B ay_I n_E hh_B w_I ah_I n_E sil, nine nine one
2833,MAN_JH_2833_99A,sil n_B ay_I n_E n_B ay_I n_E sil, nine nine
2834,MAN_JH_2834_9A,sil n_B ay_I n_E sil, nine
2835,MAN_JH_2835_9B,sil n_B ay_I n_E sil, nine
2836,MAN_JH_2836_O16OOA,sil ow_S hh_B w_I ah_I n_E s_B ih_I k_I s_E sil ow_S ow_S sil, oh one six oh oh
2837,MAN_JH_2837_O1OA,sil ow_S hh_B w_I ah_I n_E ow_S sil, oh one oh
2838,MAN_JH_2838_O712A,sil ow_S s_B eh_I v_I ah_I n_E hh_B w_I ah_I n_E t_B uw_E sil, oh seven one two
2839,MAN_JH_2839_O91A,sil ow_S sil n_B ay_I n_E hh_B w_I ah_I n_E sil, oh nine one
2840,MAN_JH_2840_OA,sil ow_S sil, oh
2841,MAN_JH_2841_OB,sil ow_S sil, oh
2842,MAN_JH_2842_OO25A,sil ow_S ow_S t_B uw_E f_B ay_I v_E sil, oh oh two five
