,file,transcript,hindi_target,hindi_translated
2442,MAN_IA_2442_91A, NINE ONE,नौ एक, नौ एक _END
2443,MAN_IA_2443_921A, NINE TWO ONE,नौ दो एक, नौ दो एक _END
2444,MAN_IA_2444_9853A, NINE EIGHT FIVE THREE,नौ आठ पांच तीन, नौ आठ पांच तीन _END
2445,MAN_IA_2445_993A, NINE NINE THREE,नौ नौ तीन, नौ नौ तीन _END
2446,MAN_IA_2446_9A, NINE,नौ, नौ _END
2447,MAN_IA_2447_9B, NINE,नौ, नौ _END
2448,MAN_IA_2448_9OA, NINE ZERO,नौ शून्य, नौ शून्य _END
2449,MAN_IA_2449_O238773A, ZERO TWO THREE EIGHT SEVEN SEVEN THREE,शून्य दो तीन आठ सात सात तीन, शून्य दो तीन आठ सात सात तीन _END
2450,MAN_IA_2450_O5787A, ZERO FIVE SEVEN EIGHT SEVEN,शून्य पांच सात आठ सात, शून्य पांच सात आठ सात _END
2451,MAN_IA_2451_O624A, ZERO SIX TWO FOUR,शून्य छः दो चार, शून्य छः दो चार _END
2452,MAN_IA_2452_O7O8A, ZERO SEVEN ZERO EIGHT,शून्य सात शून्य आठ, शून्य सात शून्य आठ _END
2453,MAN_IA_2453_OA, ZERO,शून्य, शून्य _END
2454,MAN_IA_2454_OB, ZERO,शून्य, शून्य _END
2455,MAN_IA_2455_OOA, ZERO ZERO,शून्य शून्य, शून्य शून्य _END
2456,MAN_IA_2456_Z11A, ZERO ONE ONE,शून्य एक एक, शून्य एक एक _END
2457,MAN_IA_2457_Z175A, ZERO ONE SEVEN FIVE,शून्य एक सात पांच, शून्य एक सात पांच _END
2458,MAN_IA_2458_Z381A, ZERO THREE EIGHT ONE,शून्य तीन आठ एक, शून्य तीन आठ एक _END
2459,MAN_IA_2459_Z4554A, ZERO FOUR FIVE FIVE FOUR,शून्य चार पांच पांच चार, शून्य चार पांच पांच चार _END
2460,MAN_IA_2460_Z6A, ZERO SIX,शून्य छः, शून्य छः _END
2461,MAN_IA_2461_ZA, ZERO,शून्य, शून्य _END
2462,MAN_IA_2462_ZB, ZERO,शून्य, शून्य _END
2463,MAN_IB_2463_3Z65A, THREE ZERO SIX FIVE,तीन शून्य छः पांच, तीन शून्य छः पांच _END
2464,MAN_IB_2464_6A, SIX,छः, छः _END
2465,MAN_IB_2465_12273A, ONE TWO TWO SEVEN THREE,एक दो दो सात तीन, दो एक दो सात तीन _END
2466,MAN_IB_2466_12A, ONE TWO,एक दो, एक दो _END
2467,MAN_IB_2467_169O8O7A, ONE SIX NINE ZERO EIGHT ZERO SEVEN,एक छः नौ शून्य आठ शून्य सात, एक छः नौ शून्य आठ शून्य सात _END
2468,MAN_IB_2468_17291O2A, ONE SEVEN TWO NINE ONE ZERO TWO,एक सात दो नौ एक शून्य दो, एक सात दो नौ एक शून्य दो _END
2469,MAN_IB_2469_17A, ONE SEVEN,एक सात, एक सात _END
2470,MAN_IB_2470_1A, ONE,एक, एक _END
2471,MAN_IB_2471_1B, ONE,एक, एक _END
2472,MAN_IB_2472_21463O1A, TWO ONE FOUR SIX THREE ZERO ONE,दो एक चार छः तीन शून्य एक, दो एक चार छः तीन शून्य एक _END
2473,MAN_IB_2473_245A, TWO FOUR FIVE,दो चार पांच, दो चार पांच _END
2474,MAN_IB_2474_28A, TWO EIGHT,दो आठ, दो आठ _END
2475,MAN_IB_2475_2A, TWO,दो, दो _END
2476,MAN_IB_2476_2B, TWO,दो, दो _END
2477,MAN_IB_2477_2O35OA, TWO ZERO THREE FIVE ZERO,दो शून्य तीन पांच शून्य, दो शून्य तीन पांच शून्य _END
2478,MAN_IB_2478_2Z5ZZ84A, TWO ZERO FIVE ZERO ZERO EIGHT FOUR,दो शून्य पांच शून्य शून्य आठ चार, दो शून्य पांच शून्य शून्य आठ चार _END
2479,MAN_IB_2479_33144A, THREE THREE ONE FOUR FOUR,तीन तीन एक चार चार, तीन तीन एक चार चार _END
2480,MAN_IB_2480_332A, THREE THREE TWO,तीन तीन दो, तीन तीन दो _END
2481,MAN_IB_2481_39ZZ285A, THREE NINE ZERO ZERO TWO EIGHT FIVE,तीन नौ शून्य शून्य दो आठ पांच, तीन नौ शून्य शून्य दो आठ पांच _END
2482,MAN_IB_2482_3A, THREE,तीन, तीन _END
2483,MAN_IB_2483_3B, THREE,तीन, तीन _END
2484,MAN_IB_2484_3ZZ3A, THREE ZERO ZERO THREE,तीन शून्य शून्य तीन, तीन शून्य शून्य तीन _END
2485,MAN_IB_2485_41Z1A, FOUR ONE ZERO ONE,चार एक शून्य एक, चार एक शून्य एक _END
2486,MAN_IB_2486_458A, FOUR FIVE EIGHT,चार पांच आठ, चार पांच आठ _END
2487,MAN_IB_2487_472OA, FOUR SEVEN TWO ZERO,चार सात दो शून्य, चार सात दो शून्य _END
2488,MAN_IB_2488_4A, FOUR,चार, चार _END
2489,MAN_IB_2489_4B, FOUR,चार, चार _END
2490,MAN_IB_2490_4O34A, FOUR ZERO THREE FOUR,चार शून्य तीन चार, चार शून्य तीन चार _END
2491,MAN_IB_2491_4O6A, FOUR ZERO SIX,चार शून्य छः, चार शून्य छः _END
2492,MAN_IB_2492_513A, FIVE ONE THREE,पांच एक तीन, पांच एक तीन _END
2493,MAN_IB_2493_56A, FIVE SIX,पांच छः, पांच छः _END
2494,MAN_IB_2494_57A, FIVE SEVEN,पांच सात, पांच सात _END
2495,MAN_IB_2495_5949A, FIVE NINE FOUR NINE,पांच नौ चार नौ, पांच नौ चार नौ _END
2496,MAN_IB_2496_5A, FIVE,पांच, पांच _END
2497,MAN_IB_2497_5B, FIVE,पांच, पांच _END
2498,MAN_IB_2498_5OOA, FIVE ZERO ZERO,पांच शून्य शून्य, पांच शून्य शून्य _END
2499,MAN_IB_2499_61547O6A, SIX ONE FIVE FOUR SEVEN ZERO SIX,छः एक पांच चार सात शून्य छः, छः एक पांच चार सात शून्य छः _END
2500,MAN_IB_2500_644A, SIX FOUR FOUR,छः चार चार, छः चार चार _END
2501,MAN_IB_2501_674A, SIX SEVEN FOUR,छः सात चार, छः सात चार _END
2502,MAN_IB_2502_68748OOA, SIX EIGHT SEVEN FOUR EIGHT ZERO ZERO,छः आठ सात चार आठ शून्य शून्य, छः आठ सात चार आठ शून्य शून्य _END
2503,MAN_IB_2503_6B, SIX,छः, छः _END
2504,MAN_IB_2504_6Z466A, SIX ZERO FOUR SIX SIX,छः शून्य चार छः छः, छः शून्य चार छः छः _END
2505,MAN_IB_2505_7184A, SEVEN ONE EIGHT FOUR,सात एक आठ चार, सात एक आठ चार _END
2506,MAN_IB_2506_73789OOA, SEVEN THREE SEVEN EIGHT NINE ZERO ZERO,सात तीन सात आठ नौ शून्य शून्य, सात तीन सात आठ नौ शून्य शून्य _END
2507,MAN_IB_2507_7A, SEVEN,सात, सात _END
2508,MAN_IB_2508_7B, SEVEN,सात, सात _END
2509,MAN_IB_2509_7O935A, SEVEN ZERO NINE THREE FIVE,सात शून्य नौ तीन पांच, सात शून्य नौ तीन पांच _END
2510,MAN_IB_2510_7Z6A, SEVEN ZERO SIX,सात शून्य छः, सात शून्य छः _END
2511,MAN_IB_2511_7ZA, SEVEN ZERO,सात शून्य, सात शून्य _END
2512,MAN_IB_2512_83A, EIGHT THREE,आठ तीन, आठ तीन _END
2513,MAN_IB_2513_8559A, EIGHT FIVE FIVE NINE,आठ पांच पांच नौ, आठ पांच पांच नौ _END
2514,MAN_IB_2514_8952A, EIGHT NINE FIVE TWO,आठ नौ पांच दो, आठ नौ पांच दो _END
2515,MAN_IB_2515_8A, EIGHT,आठ, आठ _END
2516,MAN_IB_2516_8B, EIGHT,आठ, आठ _END
2517,MAN_IB_2517_8O86A, EIGHT ZERO EIGHT SIX,आठ शून्य आठ छः, आठ शून्य आठ छः _END
2518,MAN_IB_2518_8Z921A, EIGHT ZERO NINE TWO ONE,आठ शून्य नौ दो एक, आठ शून्य नौ दो एक _END
2519,MAN_IB_2519_91A, NINE ONE,नौ एक, नौ एक _END
2520,MAN_IB_2520_924A, NINE TWO FOUR,नौ दो चार, नौ दो चार _END
2521,MAN_IB_2521_976A, NINE SEVEN SIX,नौ सात छः, नौ सात छः _END
2522,MAN_IB_2522_97A, NINE SEVEN,नौ सात, नौ सात _END
2523,MAN_IB_2523_9A, NINE,नौ, नौ _END
2524,MAN_IB_2524_9B, NINE,नौ, नौ _END
2525,MAN_IB_2525_9Z776A, NINE ZERO SEVEN SEVEN SIX,नौ शून्य सात सात छः, नौ शून्य सात सात छः _END
2526,MAN_IB_2526_O196A, ZERO ONE NINE SIX,शून्य एक नौ छः, शून्य एक नौ छः _END
2527,MAN_IB_2527_O234399A, ZERO TWO THREE FOUR THREE NINE NINE,शून्य दो तीन चार तीन नौ नौ, शून्य दो तीन चार तीन नौ नौ _END
2528,MAN_IB_2528_O4365A, ZERO FOUR THREE SIX FIVE,शून्य चार तीन छः पांच, शून्य चार तीन छः पांच _END
2529,MAN_IB_2529_O5A, ZERO FIVE,शून्य पांच, शून्य पांच _END
2530,MAN_IB_2530_O9649A, ZERO NINE SIX FOUR NINE,शून्य नौ छः चार नौ, शून्य नौ छः चार नौ _END
2531,MAN_IB_2531_OA, ZERO,शून्य, शून्य _END
2532,MAN_IB_2532_OB, ZERO,शून्य, शून्य _END
2533,MAN_IB_2533_Z3Z4ZZ2A, ZERO THREE ZERO FOUR ZERO ZERO TWO,शून्य तीन शून्य चार शून्य शून्य दो, शून्य तीन शून्य चार शून्य शून्य दो _END
2534,MAN_IB_2534_Z542Z16A, ZERO FIVE FOUR TWO ZERO ONE SIX,शून्य पांच चार दो शून्य एक छः, शून्य पांच चार दो शून्य एक छः _END
2535,MAN_IB_2535_Z7941A, ZERO SEVEN NINE FOUR ONE,शून्य सात नौ चार एक, शून्य सात नौ चार एक _END
2536,MAN_IB_2536_Z8A, ZERO EIGHT,शून्य आठ, शून्य आठ _END
2537,MAN_IB_2537_Z9379A, ZERO NINE THREE SEVEN NINE,शून्य नौ तीन सात नौ, शून्य नौ तीन सात नौ _END
2538,MAN_IB_2538_ZA, ZERO,शून्य, शून्य _END
2539,MAN_IB_2539_ZB, ZERO,शून्य, शून्य _END
2540,MAN_IM_2540_3B, THREE,तीन, तीन _END
2541,MAN_IM_2541_6A, SIX,छः, छः _END
2542,MAN_IM_2542_1294859A, ONE TWO NINE FOUR EIGHT FIVE NINE,एक दो नौ चार आठ पांच नौ, एक दो नौ चार आठ पांच नौ _END
2543,MAN_IM_2543_134A, ONE THREE FOUR,एक तीन चार, एक तीन चार _END
2544,MAN_IM_2544_174O476A, ONE SEVEN FOUR ZERO FOUR SEVEN SIX,एक सात चार शून्य चार सात छः, एक सात चार शून्य चार सात छः _END
2545,MAN_IM_2545_1A, ONE,एक, एक _END
2546,MAN_IM_2546_1B, ONE,एक, एक _END
2547,MAN_IM_2547_1O463A, ONE ZERO FOUR SIX THREE,एक शून्य चार छः तीन, एक शून्य चार छः तीन _END
2548,MAN_IM_2548_1ZA, ONE ZERO,एक शून्य, एक शून्य _END
2549,MAN_IM_2549_22843A, TWO TWO EIGHT FOUR THREE,दो दो आठ चार तीन, दो दो आठ चार तीन _END
2550,MAN_IM_2550_22Z3A, TWO TWO ZERO THREE,दो दो शून्य तीन, दो दो शून्य तीन _END
2551,MAN_IM_2551_24A, TWO FOUR,दो चार, दो चार _END
2552,MAN_IM_2552_25A, TWO FIVE,दो पांच, दो पांच _END
2553,MAN_IM_2553_26931A, TWO SIX NINE THREE ONE,दो छः नौ तीन एक, दो छः नौ तीन एक _END
2554,MAN_IM_2554_2A, TWO,दो, दो _END
2555,MAN_IM_2555_2B, TWO,दो, दो _END
2556,MAN_IM_2556_32A, THREE TWO,तीन दो, तीन दो _END
2557,MAN_IM_2557_338ZA, THREE THREE EIGHT ZERO,तीन तीन आठ शून्य, तीन तीन आठ शून्य _END
2558,MAN_IM_2558_36A, THREE SIX,तीन छः, तीन छः _END
2559,MAN_IM_2559_382A, THREE EIGHT TWO,तीन आठ दो, तीन आठ दो _END
2560,MAN_IM_2560_3A, THREE,तीन, तीन _END
2561,MAN_IM_2561_3Z6A, THREE ZERO SIX,तीन शून्य छः, तीन शून्य छः _END
2562,MAN_IM_2562_428A, FOUR TWO EIGHT,चार दो आठ, चार दो आठ _END
2563,MAN_IM_2563_44A, FOUR FOUR,चार चार, चार चार _END
2564,MAN_IM_2564_48919A, FOUR EIGHT NINE ONE NINE,चार आठ नौ एक नौ, चार आठ नौ एक नौ _END
2565,MAN_IM_2565_49A, FOUR NINE,चार नौ, चार नौ _END
2566,MAN_IM_2566_49Z93Z2A, FOUR NINE ZERO NINE THREE ZERO TWO,चार नौ शून्य नौ तीन शून्य दो, चार नौ शून्य नौ तीन शून्य दो _END
2567,MAN_IM_2567_4A, FOUR,चार, चार _END
2568,MAN_IM_2568_4B, FOUR,चार, चार _END
2569,MAN_IM_2569_521O7O3A, FIVE TWO ONE ZERO SEVEN ZERO THREE,पांच दो एक शून्य सात शून्य तीन, पांच दो एक शून्य सात शून्य तीन _END
2570,MAN_IM_2570_5537A, FIVE FIVE THREE SEVEN,पांच पांच तीन सात, पांच पांच तीन सात _END
2571,MAN_IM_2571_56OA, FIVE SIX ZERO,पांच छः शून्य, पांच छः शून्य _END
2572,MAN_IM_2572_58992A, FIVE EIGHT NINE NINE TWO,पांच आठ नौ नौ दो, पांच आठ नौ नौ दो _END
2573,MAN_IM_2573_5A, FIVE,पांच, पांच _END
2574,MAN_IM_2574_5B, FIVE,पांच, पांच _END
2575,MAN_IM_2575_5O5A, FIVE ZERO FIVE,पांच शून्य पांच, पांच शून्य पांच _END
2576,MAN_IM_2576_63O95A, SIX THREE ZERO NINE FIVE,छः तीन शून्य नौ पांच, छः तीन शून्य नौ पांच _END
2577,MAN_IM_2577_651144ZA, SIX FIVE ONE ONE FOUR FOUR ZERO,छः पांच एक एक चार चार शून्य, छः पांच एक एक चार चार शून्य _END
2578,MAN_IM_2578_6729A, SIX SEVEN TWO NINE,छः सात दो नौ, छः सात दो नौ _END
2579,MAN_IM_2579_6864A, SIX EIGHT SIX FOUR,छः आठ छः चार, छः आठ छः चार _END
2580,MAN_IM_2580_6B, SIX,छः, छः _END
2581,MAN_IM_2581_6Z5A, SIX ZERO FIVE,छः शून्य पांच, छः शून्य पांच _END
2582,MAN_IM_2582_71A, SEVEN ONE,सात एक, सात एक _END
2583,MAN_IM_2583_73453A, SEVEN THREE FOUR FIVE THREE,सात तीन चार पांच तीन, सात तीन चार पांच तीन _END
2584,MAN_IM_2584_73916A, SEVEN THREE NINE ONE SIX,सात तीन नौ एक छः, सात तीन नौ एक छः _END
2585,MAN_IM_2585_7557A, SEVEN FIVE FIVE SEVEN,सात पांच पांच सात, सात पांच पांच सात _END
2586,MAN_IM_2586_774A, SEVEN SEVEN FOUR,सात सात चार, सात सात चार _END
2587,MAN_IM_2587_7A, SEVEN,सात, सात _END
2588,MAN_IM_2588_7B, SEVEN,सात, सात _END
2589,MAN_IM_2589_8332O39A, EIGHT THREE THREE TWO ZERO THREE NINE,आठ तीन तीन दो शून्य तीन नौ, आठ तीन तीन दो शून्य तीन नौ _END
2590,MAN_IM_2590_8541Z13A, EIGHT FIVE FOUR ONE ZERO ONE THREE,आठ पांच चार एक शून्य एक तीन, आठ पांच चार एक शून्य एक तीन _END
2591,MAN_IM_2591_88O9O61A, EIGHT EIGHT ZERO NINE ZERO SIX ONE,आठ आठ शून्य नौ शून्य छः एक, आठ आठ शून्य नौ शून्य छः एक _END
2592,MAN_IM_2592_8A, EIGHT,आठ, आठ _END
2593,MAN_IM_2593_8B, EIGHT,आठ, आठ _END
2594,MAN_IM_2594_8OA, EIGHT ZERO,आठ शून्य, आठ शून्य _END
2595,MAN_IM_2595_8Z86A, EIGHT ZERO EIGHT SIX,आठ शून्य आठ छः, आठ शून्य आठ छः _END
2596,MAN_IM_2596_979835ZA, NINE SEVEN NINE EIGHT THREE FIVE ZERO,नौ सात नौ आठ तीन पांच शून्य, नौ सात नौ आठ तीन पांच शून्य _END
2597,MAN_IM_2597_981A, NINE EIGHT ONE,नौ आठ एक, नौ आठ एक _END
2598,MAN_IM_2598_99A, NINE NINE,नौ नौ, नौ नौ _END
2599,MAN_IM_2599_9A, NINE,नौ, नौ _END
2600,MAN_IM_2600_9B, NINE,नौ, नौ _END
2601,MAN_IM_2601_9O78A, NINE ZERO SEVEN EIGHT,नौ शून्य सात आठ, नौ शून्य सात आठ _END
2602,MAN_IM_2602_9ZA, NINE ZERO,नौ शून्य, नौ शून्य _END
2603,MAN_IM_2603_O14A, ZERO ONE FOUR,शून्य एक चार, शून्य एक चार _END
2604,MAN_IM_2604_O279515A, ZERO TWO SEVEN NINE FIVE ONE FIVE,शून्य दो सात नौ पांच एक पांच, शून्य दो सात नौ पांच एक पांच _END
2605,MAN_IM_2605_O64OA, ZERO SIX FOUR ZERO,शून्य छः चार शून्य, शून्य छः चार शून्य _END
2606,MAN_IM_2606_OA, ZERO,शून्य, शून्य _END
2607,MAN_IM_2607_OB, ZERO,शून्य, शून्य _END
2608,MAN_IM_2608_OO87A, ZERO ZERO EIGHT SEVEN,शून्य शून्य आठ सात, शून्य शून्य आठ सात _END
2609,MAN_IM_2609_OOO17A, ZERO ZERO ZERO ONE SEVEN,शून्य शून्य शून्य एक सात, शून्य शून्य शून्य एक सात _END
2610,MAN_IM_2610_Z19A, ZERO ONE NINE,शून्य एक नौ, शून्य एक नौ _END
2611,MAN_IM_2611_Z431181A, ZERO FOUR THREE ONE ONE EIGHT ONE,शून्य चार तीन एक एक आठ एक, शून्य चार तीन एक एक आठ एक _END
2612,MAN_IM_2612_Z8254A, ZERO EIGHT TWO FIVE FOUR,शून्य आठ दो पांच चार, शून्य आठ दो पांच चार _END
2613,MAN_IM_2613_Z96ZA, ZERO NINE SIX ZERO,शून्य नौ छः शून्य, शून्य नौ छः शून्य _END
2614,MAN_IM_2614_ZA, ZERO,शून्य, शून्य _END
2615,MAN_IM_2615_ZB, ZERO,शून्य, शून्य _END
2616,MAN_IM_2616_ZZ35ZA, ZERO ZERO THREE FIVE ZERO,शून्य शून्य तीन पांच शून्य, शून्य शून्य तीन पांच शून्य _END
2617,MAN_IP_2617_3A, THREE,तीन, तीन _END
2618,MAN_IP_2618_68385A, SIX EIGHT THREE EIGHT FIVE,छः आठ तीन आठ पांच, छः आठ तीन आठ पांच _END
2619,MAN_IP_2619_11Z44A, ONE ONE ZERO FOUR FOUR,एक एक शून्य चार चार, एक एक शून्य चार चार _END
2620,MAN_IP_2620_12A, ONE TWO,एक दो, एक दो _END
2621,MAN_IP_2621_14A, ONE FOUR,एक चार, एक चार _END
2622,MAN_IP_2622_1867Z65A, ONE EIGHT SIX SEVEN ZERO SIX FIVE,एक आठ छः सात शून्य छः पांच, एक आठ छः सात शून्य छः पांच _END
2623,MAN_IP_2623_1A, ONE,एक, एक _END
2624,MAN_IP_2624_1B, ONE,एक, एक _END
2625,MAN_IP_2625_1Z69911A, ONE ZERO SIX NINE NINE ONE ONE,एक शून्य छः नौ नौ एक एक, एक शून्य छः नौ नौ एक एक _END
2626,MAN_IP_2626_255647ZA, TWO FIVE FIVE SIX FOUR SEVEN ZERO,दो पांच पांच छः चार सात शून्य, दो पांच पांच छः चार सात शून्य _END
2627,MAN_IP_2627_25A, TWO FIVE,दो पांच, दो पांच _END
2628,MAN_IP_2628_28826Z4A, TWO EIGHT EIGHT TWO SIX ZERO FOUR,दो आठ आठ दो छः शून्य चार, दो आठ आठ दो छः शून्य चार _END
2629,MAN_IP_2629_2A, TWO,दो, दो _END
2630,MAN_IP_2630_2B, TWO,दो, दो _END
2631,MAN_IP_2631_2O4A, TWO ZERO FOUR,दो शून्य चार, दो शून्य चार _END
2632,MAN_IP_2632_2Z28ZA, TWO ZERO TWO EIGHT ZERO,दो शून्य दो आठ शून्य, दो शून्य दो आठ शून्य _END
2633,MAN_IP_2633_31A, THREE ONE,तीन एक, तीन एक _END
2634,MAN_IP_2634_353A, THREE FIVE THREE,तीन पांच तीन, तीन पांच तीन _END
2635,MAN_IP_2635_359OA, THREE FIVE NINE ZERO,तीन पांच नौ शून्य, तीन पांच नौ शून्य _END
2636,MAN_IP_2636_36O8A, THREE SIX ZERO EIGHT,तीन छः शून्य आठ, तीन छः शून्य आठ _END
2637,MAN_IP_2637_3818782A, THREE EIGHT ONE EIGHT SEVEN EIGHT TWO,तीन आठ एक आठ सात आठ दो, तीन आठ एक आठ सात आठ दो _END
2638,MAN_IP_2638_3B, THREE,तीन, तीन _END
2639,MAN_IP_2639_422Z373A, FOUR TWO TWO ZERO THREE SEVEN THREE,चार दो दो शून्य तीन सात तीन, चार दो दो शून्य तीन सात तीन _END
2640,MAN_IP_2640_4393A, FOUR THREE NINE THREE,चार तीन नौ तीन, चार तीन नौ तीन _END
2641,MAN_IP_2641_487A, FOUR EIGHT SEVEN,चार आठ सात, चार आठ सात _END
2642,MAN_IP_2642_49527A, FOUR NINE FIVE TWO SEVEN,चार नौ पांच दो सात, चार नौ पांच दो सात _END
2643,MAN_IP_2643_4A, FOUR,चार, चार _END
2644,MAN_IP_2644_4B, FOUR,चार, चार _END
2645,MAN_IP_2645_4ZA, FOUR ZERO,चार शून्य, चार शून्य _END
2646,MAN_IP_2646_51316A, FIVE ONE THREE ONE SIX,पांच एक तीन एक छः, पांच एक तीन एक छः _END
2647,MAN_IP_2647_5724O29A, FIVE SEVEN TWO FOUR ZERO TWO NINE,पांच सात दो चार शून्य दो नौ, पांच सात दो चार शून्य दो नौ _END
2648,MAN_IP_2648_579ZA, FIVE SEVEN NINE ZERO,पांच सात नौ शून्य, पांच सात नौ शून्य _END
2649,MAN_IP_2649_594A, FIVE NINE FOUR,पांच नौ चार, पांच नौ चार _END
2650,MAN_IP_2650_5A, FIVE,पांच, पांच _END
2651,MAN_IP_2651_5B, FIVE,पांच, पांच _END
2652,MAN_IP_2652_5OOA, FIVE ZERO ZERO,पांच शून्य शून्य, पांच शून्य शून्य _END
2653,MAN_IP_2653_617A, SIX ONE SEVEN,छः एक सात, छः एक सात _END
2654,MAN_IP_2654_61A, SIX ONE,छः एक, छः एक _END
2655,MAN_IP_2655_621OA, SIX TWO ONE ZERO,छः दो एक शून्य, छः दो एक शून्य _END
2656,MAN_IP_2656_668A, SIX SIX EIGHT,छः छः आठ, छः छः आठ _END
2657,MAN_IP_2657_6A, SIX,छः, छः _END
2658,MAN_IP_2658_6B, SIX,छः, छः _END
2659,MAN_IP_2659_72OOA, SEVEN TWO ZERO ZERO,सात दो शून्य शून्य, सात दो शून्य शून्य _END
2660,MAN_IP_2660_763A, SEVEN SIX THREE,सात छः तीन, सात छः तीन _END
2661,MAN_IP_2661_7789719A, SEVEN SEVEN EIGHT NINE SEVEN ONE NINE,सात सात आठ नौ सात एक नौ, सात सात आठ नौ सात एक नौ _END
2662,MAN_IP_2662_7A, SEVEN,सात, सात _END
2663,MAN_IP_2663_7B, SEVEN,सात, सात _END
2664,MAN_IP_2664_7O991A, SEVEN ZERO NINE NINE ONE,सात शून्य नौ नौ एक, सात शून्य नौ नौ एक _END
2665,MAN_IP_2665_7OA, SEVEN ZERO,सात शून्य, सात शून्य _END
2666,MAN_IP_2666_83792A, EIGHT THREE SEVEN NINE TWO,आठ तीन सात नौ दो, आठ तीन सात नौ दो _END
2667,MAN_IP_2667_84O6A, EIGHT FOUR ZERO SIX,आठ चार शून्य छः, आठ चार शून्य छः _END
2668,MAN_IP_2668_851A, EIGHT FIVE ONE,आठ पांच एक, आठ पांच एक _END
2669,MAN_IP_2669_89OA, EIGHT NINE ZERO,आठ नौ शून्य, आठ नौ शून्य _END
2670,MAN_IP_2670_8A, EIGHT,आठ, आठ _END
2671,MAN_IP_2671_8B, EIGHT,आठ, आठ _END
2672,MAN_IP_2672_8Z55A, EIGHT ZERO FIVE FIVE,आठ शून्य पांच पांच, आठ शून्य पांच पांच _END
2673,MAN_IP_2673_92A, NINE TWO,नौ दो, नौ दो _END
2674,MAN_IP_2674_94815A, NINE FOUR EIGHT ONE FIVE,नौ चार आठ एक पांच, नौ चार आठ एक पांच _END
2675,MAN_IP_2675_9652754A, NINE SIX FIVE TWO SEVEN FIVE FOUR,नौ छः पांच दो सात पांच चार, नौ छः पांच दो सात पांच चार _END
2676,MAN_IP_2676_97756A, NINE SEVEN SEVEN FIVE SIX,नौ सात सात पांच छः, सात नौ सात पांच छः _END
2677,MAN_IP_2677_98OOA, NINE EIGHT ZERO ZERO,नौ आठ शून्य शून्य, नौ आठ शून्य शून्य _END
2678,MAN_IP_2678_9A, NINE,नौ, नौ _END
2679,MAN_IP_2679_9B, NINE,नौ, नौ _END
2680,MAN_IP_2680_O741A, ZERO SEVEN FOUR ONE,शून्य सात चार एक, शून्य सात चार एक _END
2681,MAN_IP_2681_O76644OA, ZERO SEVEN SIX SIX FOUR FOUR ZERO,शून्य सात छः छः चार चार शून्य, शून्य सात छः छः चार चार शून्य _END
2682,MAN_IP_2682_O88O3A, ZERO EIGHT EIGHT ZERO THREE,शून्य आठ आठ शून्य तीन, शून्य आठ आठ शून्य तीन _END
2683,MAN_IP_2683_O933O29A, ZERO NINE THREE THREE ZERO TWO NINE,शून्य नौ तीन तीन शून्य दो नौ, शून्य नौ तीन तीन शून्य दो नौ _END
2684,MAN_IP_2684_OA, ZERO,शून्य, शून्य _END
2685,MAN_IP_2685_OB, ZERO,शून्य, शून्य _END
2686,MAN_IP_2686_OO34A, ZERO ZERO THREE FOUR,शून्य शून्य तीन चार, शून्य शून्य तीन चार _END
2687,MAN_IP_2687_Z74A, ZERO SEVEN FOUR,शून्य सात चार, शून्य सात चार _END
2688,MAN_IP_2688_Z7A, ZERO SEVEN,शून्य सात, शून्य सात _END
2689,MAN_IP_2689_Z8496A, ZERO EIGHT FOUR NINE SIX,शून्य आठ चार नौ छः, शून्य आठ चार नौ छः _END
2690,MAN_IP_2690_ZA, ZERO,शून्य, शून्य _END
2691,MAN_IP_2691_ZB, ZERO,शून्य, शून्य _END
2692,MAN_IP_2692_ZZA, ZERO ZERO,शून्य शून्य, शून्य शून्य _END
2693,MAN_IP_2693_ZZB, ZERO ZERO,शून्य शून्य, शून्य शून्य _END
2694,MAN_JA_2694_3B, THREE,तीन, तीन _END
2695,MAN_JA_2695_686A, SIX EIGHT SIX,छः आठ छः, छः आठ छः _END
2696,MAN_JA_2696_12A, ONE TWO,एक दो, एक दो _END
2697,MAN_JA_2697_148A, ONE FOUR EIGHT,एक चार आठ, एक चार आठ _END
2698,MAN_JA_2698_16947A, ONE SIX NINE FOUR SEVEN,एक छः नौ चार सात, एक छः नौ चार सात _END
2699,MAN_JA_2699_1866331A, ONE EIGHT SIX SIX THREE THREE ONE,एक आठ छः छः तीन तीन एक, आठ एक छः छः तीन तीन एक _END
2700,MAN_JA_2700_19O56A, ONE NINE ZERO FIVE SIX,एक नौ शून्य पांच छः, एक नौ शून्य पांच छः _END
2701,MAN_JA_2701_1A, ONE,एक, एक _END
2702,MAN_JA_2702_1B, ONE,एक, एक _END
2703,MAN_JA_2703_2271OO3A, TWO TWO SEVEN ONE ZERO ZERO THREE,दो दो सात एक शून्य शून्य तीन, दो दो सात एक शून्य शून्य तीन _END
2704,MAN_JA_2704_23OO6A, TWO THREE ZERO ZERO SIX,दो तीन शून्य शून्य छः, दो तीन शून्य शून्य छः _END
2705,MAN_JA_2705_2569A, TWO FIVE SIX NINE,दो पांच छः नौ, दो पांच छः नौ _END
2706,MAN_JA_2706_26229A, TWO SIX TWO TWO NINE,दो छः दो दो नौ, दो छः दो दो नौ _END
2707,MAN_JA_2707_2A, TWO,दो, दो _END
2708,MAN_JA_2708_2B, TWO,दो, दो _END
2709,MAN_JA_2709_2ZA, TWO ZERO,दो शून्य, दो शून्य _END
